ID,NPostedQuestionsByUser,AvgAnswerTime,Num_of_images,Num_code_Snippets,Body_Length,Title_Length,End_Question_mark,Begin_Question_word,IS_Weekend,TagFrequency,numofPopulartags_25Threshold,numofPopulartags_50Threshold,numofPopulartags_100Threshold,ActiveSubscribers_10Threshold,ActiveSubscribers_20Threshold,ActiveSubscribers_30Threshold,PercentActiveSubscribers_10Threshold,PercentActiveSubscribers_20Threshold,PercentActiveSubscribers_30Threshold,Subscribers,ResponsiveSubscribers,PercentResponsiveSubscribers,UserReputation,FirstAnswerTime,Class
26133399,3,589,0,2,799,43,1,0,0,47,1,1,0,0,0,0,0,0,0,44,6,0.078,1912,1116,3
26133850,0,17,0,2,2477,43,0,0,0,22584,5,5,5,492,184,101,0.009,0.003,0.002,32568,17297,0.44,28,143,2
26133434,0,17,0,3,988,50,0,0,0,9144,3,3,3,171,74,45,0.006,0.002,0.001,12730,5775,0.477,120,115,2
26133531,0,17,0,0,797,53,0,0,0,20744,2,2,2,436,168,97,0.009,0.003,0.002,27602,14004,0.419,0,730,3
26133535,0,17,0,1,2557,53,0,0,0,2458,3,3,3,42,16,10,0.016,0.006,0.003,2814,872,0.269,28,80,2
26133568,0,17,0,0,594,26,0,0,0,15212,4,4,3,290,106,62,0.008,0.003,0.002,20400,10562,0.459,0,3,1
26134017,5,32,0,0,278,70,1,0,0,1714,2,2,2,17,6,2,0.007,0.001,0.001,2254,689,0.29,136,10,1
26132194,22,329,0,3,716,62,1,1,0,1630,2,2,2,32,12,7,0.017,0.006,0.004,1929,411,0.197,1700,24,1
26133632,3,5,0,3,1872,76,0,0,0,10115,4,4,4,202,74,42,0.006,0.002,0.001,14594,7795,0.57,50,3,1
26133635,0,17,0,1,612,80,0,0,0,9659,2,2,2,222,86,44,0.007,0.003,0.001,15748,8681,0.434,641,23,1
26132312,0,17,0,0,189,57,0,0,0,3171,3,3,2,53,22,13,0.007,0.002,0.001,3747,1228,0.388,27,405,3
26132315,11,146,0,2,440,43,0,0,0,2494,1,1,1,9,7,5,0.004,0.003,0.002,2523,1151,0.456,3323,5,1
26132363,0,17,0,1,511,62,0,0,0,53820,1,1,1,1169,448,245,0.016,0.006,0.003,73481,36564,0.498,5,4,1
26132880,0,17,0,0,410,25,0,0,0,18505,3,3,3,390,149,81,0.006,0.002,0.001,25071,12376,0.386,1,98,2
26132913,0,17,0,6,1047,115,0,0,0,445,2,2,2,4,2,1,0.006,0.003,0.002,562,147,0.262,0,276,2
26132914,0,17,0,1,956,48,0,0,0,2874,4,4,4,37,9,5,0.007,0.002,0.001,4914,2650,0.418,1,233,2
26132931,1,67,0,0,332,58,0,0,0,18028,3,3,2,390,149,81,0.008,0.002,0.001,24591,12196,0.216,1,290,2
26134018,0,17,0,0,127,94,0,0,0,23529,2,1,1,508,212,126,0.008,0.003,0.002,33074,15362,0.455,0,10,1
26134034,1,12,0,1,899,18,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0.125,23,53,2
26134036,1,3,0,0,402,23,0,0,0,120,3,3,2,1,0,0,0.013,0.003,0,129,17,0.155,618,699,3
26134067,0,17,0,1,1307,27,0,0,0,8511,3,3,3,144,56,29,0.007,0.002,0.001,9636,3085,0.279,89,115,2
26133733,0,17,0,0,250,59,1,0,0,4630,4,4,3,103,46,28,0.008,0.003,0.002,6998,3464,0.568,58,9,1
